0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,NST1,NST2,NST3,NST4,DELTA,DT1,A11B11,A12B12,A21B21,A22B22,BET1,BET2,BET3,BET4
0,0.2071,0.2099,0.2941,0.2889,0.2885,0.1294,0.4037,0.1784,0.3894,0.4022,0.0992,0.1092,0.5739,0.2456,0.1274,0.0531,False,False,False,False,0.4325,False,-0.008,-0.0662,-0.0028,0.254,True,True,True,True
0,0.2014,0.2048,0.2897,0.3041,0.2746,0.1217,0.4277,0.176,0.3825,0.4056,0.1026,0.1093,0.565,0.2389,0.137,0.0591,False,False,False,False,0.4538,False,0.011,-0.0988,-0.0164,0.2482,True,True,True,True
0,0.198,0.1906,0.3072,0.3042,0.2681,0.1164,0.4258,0.1897,0.3795,0.4028,0.1106,0.1071,0.5615,0.2447,0.1392,0.0546,False,False,False,False,0.4273,False,0.0044,-0.0844,-0.0268,0.2322,True,True,True,True
0,0.2011,0.2008,0.3019,0.2962,0.2933,0.1154,0.4157,0.1756,0.4052,0.4074,0.091,0.0964,0.5652,0.2416,0.1319,0.0613,False,False,False,False,0.4195,False,-0.0054,-0.0622,0.0032,0.253,True,True,True,True
0,0.1937,0.1941,0.3119,0.3003,0.27,0.1108,0.4219,0.1973,0.4008,0.396,0.0991,0.1041,0.5696,0.2449,0.1307,0.0548,False,False,False,False,0.4114,False,-0.012,-0.0654,0.0098,0.2488,True,True,True,True
0,0.1968,0.2049,0.3035,0.2948,0.2794,0.1169,0.4214,0.1823,0.3922,0.4084,0.0937,0.1057,0.5541,0.2423,0.1397,0.0639,False,False,False,False,0.418,False,-0.0168,-0.0766,-0.0042,0.236,True,True,True,True
0,0.2091,0.2075,0.2904,0.293,0.2688,0.1118,0.4321,0.1873,0.3947,0.4075,0.1007,0.0971,0.5561,0.2309,0.1483,0.0647,False,False,False,False,0.4616,False,0.0042,-0.0878,-0.0164,0.2416,True,True,True,True
0,0.1896,0.2031,0.3063,0.301,0.284,0.1143,0.4212,0.1805,0.3981,0.3865,0.1052,0.1102,0.5574,0.2459,0.1422,0.0545,False,False,False,False,0.4299,False,-0.0188,-0.071,0.0166,0.2238,True,True,True,True
0,0.1896,0.1879,0.3071,0.3154,0.2732,0.1206,0.4256,0.1806,0.3953,0.3997,0.0991,0.1059,0.5691,0.2351,0.1395,0.0563,False,False,False,False,0.4418,False,0.01,-0.0924,0.0024,0.2508,True,True,True,True
0,0.1992,0.2029,0.2927,0.3052,0.2689,0.1159,0.4286,0.1866,0.3998,0.3957,0.1026,0.1019,0.5476,0.2399,0.1491,0.0634,False,False,False,False,0.4252,False,0.0088,-0.089,0.0034,0.222,True,True,True,True
